"日期","动画","番剧","国创","音乐","舞蹈","游戏","科技","生活","鬼畜","时尚","广告","娱乐","影视","放映厅"
"2009年6月26日",0,0,0,0,0,0,0,0,0,0,0,0,1496587,0
"2009年6月27日",0,0,0,0,0,0,0,0,0,0,0,0,1496587,0
"2009年6月28日",0,0,0,0,0,0,0,0,0,0,0,0,1496587,0
"2009年6月29日",0,0,0,0,0,0,0,0,0,0,0,0,1496587,0
"2009年6月30日",0,0,0,0,0,0,0,0,0,0,0,0,1496587,0
"2009年7月1日",0,0,0,0,0,0,0,0,0,0,0,0,1496587,0
"2009年7月2日",0,0,0,0,0,0,0,0,0,0,0,0,1496587,0
"2009年7月3日",0,0,0,0,0,576211,0,0,0,0,0,0,1496587,0
"2009年7月4日",0,0,0,0,0,576211,0,0,0,0,0,0,1496587,0
"2009年7月5日",0,0,0,0,0,576211,0,0,0,0,0,0,1496587,0
"2009年7月6日",0,0,0,0,0,576211,0,0,0,0,0,0,1496587,0
"2009年7月7日",0,0,0,0,0,576211,0,0,0,0,0,0,1496587,0
"2009年7月8日",0,0,0,0,0,576211,0,0,0,0,0,0,1496587,0
"2009年7月9日",0,0,0,204762,0,761806,0,145163,421098,0,0,0,1496587,0
"2009年7月10日",0,0,0,204762,0,809460,0,145163,421098,0,0,0,1496587,0
"2009年7月11日",0,0,0,204762,0,809460,0,145163,421098,0,0,0,1496587,0
"2009年7月12日",0,0,0,230442,0,809460,0,516494,421098,0,0,0,1496587,0
"2009年7月13日",110141,0,0,549710,0,857182,0,712250,455772,0,0,0,1496587,0
"2009年7月14日",196777,0,0,954134,0,937687,0,885142,2510022,0,15033,0,1496587,0
"2009年7月15日",287046,0,0,1004989,10536,955242,0,907262,2565435,0,15033,0,1496587,0
"2009年7月16日",298418,0,0,1020365,10536,975621,0,912193,2571682,0,15033,0,1496587,0
"2009年7月17日",323240,0,0,1044571,10536,1007478,0,912193,2579551,0,15033,0,1496587,0
"2009年7月18日",331640,0,0,1044571,10536,1007478,0,912193,2579551,0,15033,0,1496587,0
"2009年7月19日",331640,0,0,1044571,10536,1007478,0,912193,2579551,0,15033,0,1496587,0
"2009年7月20日",331640,0,0,1044571,10536,1007478,0,912193,2579551,0,15033,0,1496587,0
"2009年7月21日",338798,0,0,1179393,10536,1012667,0,912193,2579551,0,15033,0,1496587,0
"2009年7月22日",338798,0,0,1184093,10536,1012667,0,912193,2579551,0,15033,0,1496587,0
